60/61,1.speeldag,4 sep. 1960,15:00,STVV,Sint-Truidense VV,0:2,Standard Luik,Standard Luik
60/61,1.speeldag,4 sep. 1960,15:00,Aalst,KSC Eendracht Aalst,3:2,RAFC,R Antwerp FC
60/61,1.speeldag,4 sep. 1960,15:00,Olympi,Olympic Charleroi,0:7,RSCA,RSC Anderlecht
60/61,1.speeldag,4 sep. 1960,15:00,Beers.,Royal Beerschot AC,1:0,Vervié,Stade Verviétois
60/61,1.speeldag,4 sep. 1960,15:00,FCB,Club Brugge,1:2,RUSG,Union Saint-Gilloise
60/61,1.speeldag,4 sep. 1960,15:00,DAR,Daring Club Brussel,2:1,KPaEis,K Patro Eisden
60/61,1.speeldag,4 sep. 1960,15:00,RFCL,RFC Luik,2:1,Associ,Association Royale Athlétique Gent
60/61,1.speeldag,4 sep. 1960,15:00,Waters,Waterschei SV THOR (- 1988),5:0,Lierse,Lierse SK (- 2018)
60/61,2.speeldag,11 sep. 1960,15:00,Standard Luik,Standard Luik,3:0,Aalst,KSC Eendracht Aalst
60/61,2.speeldag,11 sep. 1960,15:00,RSCA,RSC Anderlecht,2:3,RFCL,RFC Luik
60/61,2.speeldag,11 sep. 1960,15:00,RAFC,R Antwerp FC,2:3,DAR,Daring Club Brussel
60/61,2.speeldag,11 sep. 1960,15:00,Associ,Association Royale Athlétique Gent,3:0,Beers.,Royal Beerschot AC
60/61,2.speeldag,11 sep. 1960,15:00,KPaEis,K Patro Eisden,1:1,FCB,Club Brugge
60/61,2.speeldag,11 sep. 1960,15:00,Lierse,Lierse SK (- 2018),1:0,Olympi,Olympic Charleroi
60/61,2.speeldag,11 sep. 1960,15:00,RUSG,Union Saint-Gilloise,3:0,STVV,Sint-Truidense VV
60/61,2.speeldag,11 sep. 1960,15:00,Vervié,Stade Verviétois,1:3,Waters,Waterschei SV THOR (- 1988)
60/61,3.speeldag,18 sep. 1960,15:00,Standard Luik,Standard Luik,0:0,Olympi,Olympic Charleroi
60/61,3.speeldag,18 sep. 1960,15:00,Aalst,KSC Eendracht Aalst,0:0,RSCA,RSC Anderlecht
60/61,3.speeldag,18 sep. 1960,15:00,RUSG,Union Saint-Gilloise,0:1,RAFC,R Antwerp FC
60/61,3.speeldag,18 sep. 1960,15:00,Beers.,Royal Beerschot AC,3:0,Lierse,Lierse SK (- 2018)
60/61,3.speeldag,18 sep. 1960,15:00,FCB,Club Brugge,1:1,Vervié,Stade Verviétois
60/61,3.speeldag,18 sep. 1960,15:00,DAR,Daring Club Brussel,3:1,Associ,Association Royale Athlétique Gent
60/61,3.speeldag,18 sep. 1960,15:00,STVV,Sint-Truidense VV,2:0,KPaEis,K Patro Eisden
60/61,3.speeldag,18 sep. 1960,15:00,Waters,Waterschei SV THOR (- 1988),0:1,RFCL,RFC Luik
60/61,4.speeldag,25 sep. 1960,15:00,Olympi,Olympic Charleroi,4:1,Beers.,Royal Beerschot AC
60/61,4.speeldag,25 sep. 1960,15:00,Lierse,Lierse SK (- 2018),3:4,DAR,Daring Club Brussel
60/61,4.speeldag,25 sep. 1960,15:00,Associ,Association Royale Athlétique Gent,3:0,STVV,Sint-Truidense VV
60/61,4.speeldag,25 sep. 1960,15:00,RFCL,RFC Luik,2:1,RUSG,Union Saint-Gilloise
