seizoen,speeldag,stand,ploeg,aantal_gespeelde_matchen,aantal_gewonnen_matchen,aantal_gelijkgespeelde_matchen,aantal_verloren_matchen,doelpunten,puntenverschil,punten
60/61,1.speeldag,1,RSC Anderlecht,1,1,0,0,7:0,7,2:0
60/61,1.speeldag,2,Waterschei THOR,1,1,0,0,5:0,5,2:0
60/61,1.speeldag,3,Standard Luik,1,1,0,0,2:0,2,2:0
60/61,1.speeldag,4,Eendracht Aalst,1,1,0,0,3:2,1,2:0
60/61,1.speeldag,5,RFC Luik,1,1,0,0,2:1,1,2:0
60/61,1.speeldag,5,Union SG,1,1,0,0,2:1,1,2:0
60/61,1.speeldag,5,Daring Club,1,1,0,0,2:1,1,2:0
60/61,1.speeldag,8,Beerschot AC,1,1,0,0,1:0,1,2:0
60/61,1.speeldag,9,Antwerp FC,1,0,0,1,2:3,-1,0:2
60/61,1.speeldag,10,ARA Gent,1,0,0,1,1:2,-1,0:2
60/61,1.speeldag,10,Club Brugge,1,0,0,1,1:2,-1,0:2
60/61,1.speeldag,10,K Patro Eisden,1,0,0,1,1:2,-1,0:2
60/61,1.speeldag,13,Verviétois,1,0,0,1,0:1,-1,0:2
60/61,1.speeldag,14,St-Truidense VV,1,0,0,1,0:2,-2,0:2
60/61,1.speeldag,15,Lierse SK,1,0,0,1,0:5,-5,0:2
60/61,1.speeldag,16,Olymp. Charleroi,1,0,0,1,0:7,-7,0:2
60/61,2.speeldag,1,Waterschei THOR,2,2,0,0,8:1,7,4:0
60/61,2.speeldag,2,Standard Luik,2,2,0,0,5:0,5,4:0
60/61,2.speeldag,3,Union SG,2,2,0,0,5:1,4,4:0
60/61,2.speeldag,4,RFC Luik,2,2,0,0,5:3,2,4:0
60/61,2.speeldag,4,Daring Club,2,2,0,0,5:3,2,4:0
60/61,2.speeldag,6,RSC Anderlecht,2,1,0,1,9:3,6,2:2
60/61,2.speeldag,7,ARA Gent,2,1,0,1,4:2,2,2:2
60/61,2.speeldag,8,Eendracht Aalst,2,1,0,1,3:5,-2,2:2
60/61,2.speeldag,9,Beerschot AC,2,1,0,1,1:3,-2,2:2
60/61,2.speeldag,10,Lierse SK,2,1,0,1,1:5,-4,2:2
60/61,2.speeldag,11,Club Brugge,2,0,1,1,2:3,-1,1:3
60/61,2.speeldag,11,K Patro Eisden,2,0,1,1,2:3,-1,1:3
60/61,2.speeldag,13,Antwerp FC,2,0,0,2,4:6,-2,0:4
