4008203,60/61,1,4/09/1960,15:00,Sint-Truidense VV,0,2,Standard Luik
4008204,60/61,1,4/09/1960,15:00,KSC Eendracht Aalst,3,2,R Antwerp FC
4008205,60/61,1,4/09/1960,15:00,Olympic Charleroi,0,7,RSC Anderlecht
4008206,60/61,1,4/09/1960,15:00,Royal Beerschot AC,1,0,Stade Verviétois
4008207,60/61,1,4/09/1960,15:00,Club Brugge,1,2,Union Saint-Gilloise
4008208,60/61,1,4/09/1960,15:00,Daring Club Brussel,2,1,K Patro Eisden
4008209,60/61,1,4/09/1960,15:00,RFC Luik,2,1,Association Royale Athlétique Gent
4008210,60/61,1,4/09/1960,15:00,Waterschei SV THOR (- 1988),5,0,Lierse SK (- 2018)
4008211,60/61,2,11/09/1960,15:00,Standard Luik,3,0,KSC Eendracht Aalst
4008212,60/61,2,11/09/1960,15:00,RSC Anderlecht,2,3,RFC Luik
4008213,60/61,2,11/09/1960,15:00,R Antwerp FC,2,3,Daring Club Brussel
4008214,60/61,2,11/09/1960,15:00,Association Royale Athlétique Gent,3,0,Royal Beerschot AC
4008215,60/61,2,11/09/1960,15:00,K Patro Eisden,1,1,Club Brugge
4008216,60/61,2,11/09/1960,15:00,Lierse SK (- 2018),1,0,Olympic Charleroi
4008217,60/61,2,11/09/1960,15:00,Union Saint-Gilloise,3,0,Sint-Truidense VV
4008218,60/61,2,11/09/1960,15:00,Stade Verviétois,1,3,Waterschei SV THOR (- 1988)
4008219,60/61,3,18/09/1960,15:00,Standard Luik,0,0,Olympic Charleroi
4008220,60/61,3,18/09/1960,15:00,KSC Eendracht Aalst,0,0,RSC Anderlecht
4008221,60/61,3,18/09/1960,15:00,Union Saint-Gilloise,0,1,R Antwerp FC
4008222,60/61,3,18/09/1960,15:00,Royal Beerschot AC,3,0,Lierse SK (- 2018)
4008223,60/61,3,18/09/1960,15:00,Club Brugge,1,1,Stade Verviétois
4008224,60/61,3,18/09/1960,15:00,Daring Club Brussel,3,1,Association Royale Athlétique Gent
4008225,60/61,3,18/09/1960,15:00,Sint-Truidense VV,2,0,K Patro Eisden
4008226,60/61,3,18/09/1960,15:00,Waterschei SV THOR (- 1988),0,1,RFC Luik
4008227,60/61,4,25/09/1960,15:00,K Patro Eisden,0,3,Standard Luik
4008228,60/61,4,25/09/1960,15:00,Stade Verviétois,0,4,KSC Eendracht Aalst
4008229,60/61,4,25/09/1960,15:00,RSC Anderlecht,3,1,Waterschei SV THOR (- 1988)
4008230,60/61,4,25/09/1960,15:00,R Antwerp FC,0,0,Club Brugge
4008231,60/61,4,25/09/1960,15:00,Olympic Charleroi,4,1,Royal Beerschot AC
4008232,60/61,4,25/09/1960,15:00,Lierse SK (- 2018),3,4,Daring Club Brussel
4008233,60/61,4,25/09/1960,15:00,Association Royale Athlétique Gent,3,0,Sint-Truidense VV
4008234,60/61,4,25/09/1960,15:00,RFC Luik,2,1,Union Saint-Gilloise
4008235,60/61,5,9/10/1960,15:00,Standard Luik,5,2,Stade Verviétois
4008236,60/61,5,9/10/1960,15:00,Union Saint-Gilloise,5,2,KSC Eendracht Aalst
4008237,60/61,5,9/10/1960,15:00,Sint-Truidense VV,2,2,RSC Anderlecht
4008238,60/61,5,9/10/1960,15:00,Royal Beerschot AC,2,1,R Antwerp FC
4008239,60/61,5,9/10/1960,15:00,Club Brugge,0,0,Waterschei SV THOR (- 1988)
4008240,60/61,5,9/10/1960,15:00,Daring Club Brussel,1,1,RFC Luik
4008241,60/61,5,9/10/1960,15:00,K Patro Eisden,0,2,Lierse SK (- 2018)
4008242,60/61,5,9/10/1960,15:00,Association Royale Athlétique Gent,1,1,Olympic Charleroi
4008243,60/61,6,16/10/1960,15:00,RFC Luik,0,0,Standard Luik
4008244,60/61,6,16/10/1960,15:00,KSC Eendracht Aalst,3,0,Sint-Truidense VV
4008245,60/61,6,16/10/1960,15:00,RSC Anderlecht,4,0,Lierse SK (- 2018)
4008246,60/61,6,16/10/1960,15:00,R Antwerp FC,2,2,K Patro Eisden
4008247,60/61,6,16/10/1960,15:00,Club Brugge,3,2,Royal Beerschot AC
4008248,60/61,6,16/10/1960,15:00,Olympic Charleroi,2,1,Daring Club Brussel
4008249,60/61,6,16/10/1960,15:00,Waterschei SV THOR (- 1988),2,2,Association Royale Athlétique Gent
4008250,60/61,6,16/10/1960,15:00,Stade Verviétois,1,0,Union Saint-Gilloise
4008251,60/61,7,23/10/1960,15:00,Standard Luik,2,1,RSC Anderlecht
